"id_product";"reference";"name";"description";"price";"link_rewrite";"link_rewrite";"id_image"
"266";"2016/81A";"Encrier Napoléon III en marbre et bronze doré; 19è siècle";"<p>Encrier Napoléon III en marbre et bronze doré; 19è siècle</p>";"206.611570";"divers";"encrier-napoleon-iii-en-marbre-et-bronze-dore";"263"
"271";"2014/253B";"Paire d'appliques en bronze doré syle Louis XV";"<p>Paire d'appliques en bronze doré syle Louis XV</p>";"743.801653";"luminaires";"paire-d-appliques-en-bronze-dore";"268"
"276";"2016/07E";"Fauteuil Louis XVI";"<p>Fauteuil Louis XVI</p>";"371.900826";"fauteuils";"fauteuils-louis-xvi";"273"
"277";"2014/165D";"Paire de fauteuils polychromes style Louis XVI";"<p>Paire de fauteuils polychromes style Louis XVI</p>";"495.867769";"fauteuils";"paire-de-fauteuils-polychromes-style-louis-xvi";"274"
"279";"2015/110C";"Buffet 3 portes; 2 tiroirs polychrome";"<p></p>
<p>L. 192 cm; P. 67 cm; H. 109 cm</p>
<p>XIX ème</p>";"1392.561983";"mobilier";"buffet-3-portes-2-tiroirs-polychrome";"276"
"280";"2010/255A";"Service à café en argent norvegien";"<p>Composé de trois pièces</p>
<p>Hauteur cafetière 22 cm</p>
<p>1920</p>";"991.735537";"argenterie-et-verrerie";"service-a-cafe-en-argent-norvegien";"277"
"281";"2010/90B";"Cafetière de style Georgien en argent";"<p></p>
<p>Londres 1934</p>
<p>H. 20 cm</p>";"516.528926";"argenterie-et-verrerie";"cafetiere-de-style-georgien-en-argent";"278"
"282";"2010/87B";"Saucière en argent; Chester; 1907";"<p>Saucière en argent; Chester; 1907</p>";"185.950413";"argenterie-et-verrerie";"sauciere-en-argent";"279"
"284";"2010/272C";"Saucière en argent; Sheffield; 1932";"<p>Saucière en argent; Sheffield; 1932</p>";"152.892562";"argenterie-et-verrerie";"sauciere-en-metal-argente";"281"
"285";"2010/293D";"Paire de saupoudroirs en métal argenté";"<p></p>
<p>H. 13 cm</p>
<p>XIXème</p>";"132.231405";"argenterie-et-verrerie";"paire-de-soupoudroir-en-metal-argente";"282"
"286";"2013/85B/1";"Chat";"<p>Marqué ""geschultz""</p>
<p>L. 9 cm; H. 6 cm</p>
<p>XIX ème siècle</p>";"454.545455";"bronzes-de-vienne";"chat";"283"
