"id_product";"reference";"name";"description";"link_rewrite";"link_rewrite";"id_image"
"271";"2014/253B";"Paire d'appliques en bronze doré syle Louis XV";"<p>Paire d'appliques en bronze doré syle Louis XV</p>";"luminaires";"paire-d-appliques-en-bronze-dore";"268"
"276";"2016/07E";"Fauteuil Louis XVI";"<p></p>
<p>L. 54 cm P. 50 cm, H. 91/40 cm</p>
<p>XVIII ème siècle</p>";"fauteuils";"fauteuils-louis-xvi";"273"
"277";"2014/165D";"Paire de fauteuils polychromes style Louis XVI";"<p>Paire de fauteuils polychromes style Louis XVI</p>";"fauteuils";"paire-de-fauteuils-polychromes-style-louis-xvi";"274"
"279";"2015/110C";"Buffet 3 portes, 2 tiroirs polychrome";"<p></p>
<p>L. 192 cm, P. 67 cm, H. 109 cm</p>
<p>XIX ème</p>";"mobilier";"buffet-3-portes-2-tiroirs-polychrome";"276"
"280";"2010/255A";"Service à café en argent norvegien";"<p>Composé de trois pièces</p>
<p>Hauteur cafetière 22 cm</p>
<p>1920</p>";"argenterie-et-verrerie";"service-a-cafe-en-argent-norvegien";"277"
"281";"2010/90B";"Cafetière de style Georgien en argent";"<p></p>
<p>Londres 1934</p>
<p>H. 20 cm</p>";"argenterie-et-verrerie";"cafetiere-de-style-georgien-en-argent";"278"
"282";"2010/87B";"Saucière en argent, Chester, 1907";"<p>Saucière en argent, Chester, 1907</p>";"argenterie-et-verrerie";"sauciere-en-argent";"279"
"284";"2010/272C";"Saucière en métal argenté, Sheffield, 1932";"<p>Saucière en métal argenté, Sheffield, 1932</p>";"argenterie-et-verrerie";"sauciere-en-metal-argente";"281"
"285";"2010/293D";"Paire de saupoudroirs en métal argenté";"<p></p>
<p>H. 13 cm</p>
<p>XIXème</p>";"argenterie-et-verrerie";"paire-de-soupoudroir-en-metal-argente";"282"
"286";"2013/85B/1";"Chat";"<p>Marqué ""geschultz""</p>
<p>L. 9 cm, H. 6 cm</p>
<p>XIX ème siècle</p>";"bronzes-de-vienne";"chat";"283"
"288";"2015/07B";"Miroir directoire en bois polychrome, 19è siècle";"<p>Miroir directoire en bois polychrome, 19è siècle</p>";"miroirs-et-trumeaux";"miroir-directoire-en-bois-polychrome";"285"
"302";"2012/381E";"Pendule en bois fin 18è siècle (mécanisme 20è siècle)";"<p>Pendule en bois fin 18è siècle (mécanisme 20è siècle)</p>";"divers";"pendule-a-suspendre";"299"
"305";"2013/96A";"Paire d'Huiles sur panneaux - Scènes animalières";"<p></p>
<p>64 cm x 84 cm</p>
<p>France XIX ème siècle</p>";"tableaux";"paire-d-huiles-sur-panneaux-scenes-animalieres";"302"
"306";"2013/04A";"Quatre tasses et sous-tasses en porcelaine de Waldenburg, 19è siècle, signé KPM (fondé en 1831)";"<p>Quatre tasses et sous-tasses en porcelaine de Waldenburg, 19è siècle, signé KPM (fondé en 1831)</p>";"porcelaine-et-faience";"porcelaine-de-waldenburg-lot-de-4-tasses-et-5-sous-tasses";"303"
"309";"2012/81C";"Bibliothèque patinée";"<p></p>
<p>L. 138,5 cm, P. 33,5 cm, H. 124 cm</p>
<p>XXème</p>";"mobilier";"bibliotheque-patinee";"306"
"312";"2010/109B";"Franz Binjé (1835-1900)  Paysage animé";"<p></p>
<p>45 x 35 cm</p>
<p>Ecole belge XIX ème siècle</p>";"tableaux";"franz-binje-1835-1900-paysage-anime";"309"
"314";"2006/102E";"Chien - Loulou de Poméranie";"<p></p>
<p>L. 7 cm, H. 8 cm</p>
<p>XIX ème siècle</p>";"bronzes-de-vienne";"chien-loulou-de-pomeranie";"311"
"316";"2012/99B";"Mondovi (Italie) - Paire de personnages";"<p></p><p>H. 18 cm</p><p>XIX ème siècle</p>";"porcelaine-et-faience";"mondovi-italie-paire-de-personnages";"313"
